Row_Number,Column_Number,Field_Index,URL_Blue,URL_Green,URL_FarRed
8,8,3,H - 08(fld 04 wv 405 - Blue).tif,H - 08(fld 04 wv 488 - Green).tif,H - 08(fld 04 wv 642 - FarRed).tif
8,8,4,H - 08(fld 05 wv 405 - Blue).tif,H - 08(fld 05 wv 488 - Green).tif,H - 08(fld 05 wv 642 - FarRed).tif
8,8,5,H - 08(fld 06 wv 405 - Blue).tif,H - 08(fld 06 wv 488 - Green).tif,H - 08(fld 06 wv 642 - FarRed).tif
8,8,6,H - 08(fld 07 wv 405 - Blue).tif,H - 08(fld 07 wv 488 - Green).tif,H - 08(fld 07 wv 642 - FarRed).tif
8,8,7,H - 08(fld 08 wv 405 - Blue).tif,H - 08(fld 08 wv 488 - Green).tif,H - 08(fld 08 wv 642 - FarRed).tif
8,8,8,H - 08(fld 09 wv 405 - Blue).tif,H - 08(fld 09 wv 488 - Green).tif,H - 08(fld 09 wv 642 - FarRed).tif
8,8,9,H - 08(fld 10 wv 405 - Blue).tif,H - 08(fld 10 wv 488 - Green).tif,H - 08(fld 10 wv 642 - FarRed).tif
8,8,10,H - 08(fld 11 wv 405 - Blue).tif,H - 08(fld 11 wv 488 - Green).tif,H - 08(fld 11 wv 642 - FarRed).tif
8,8,11,H - 08(fld 12 wv 405 - Blue).tif,H - 08(fld 12 wv 488 - Green).tif,H - 08(fld 12 wv 642 - FarRed).tif
8,9,0,H - 09(fld 01 wv 405 - Blue).tif,H - 09(fld 01 wv 488 - Green).tif,H - 09(fld 01 wv 642 - FarRed).tif
8,9,1,H - 09(fld 02 wv 405 - Blue).tif,H - 09(fld 02 wv 488 - Green).tif,H - 09(fld 02 wv 642 - FarRed).tif
8,9,2,H - 09(fld 03 wv 405 - Blue).tif,H - 09(fld 03 wv 488 - Green).tif,H - 09(fld 03 wv 642 - FarRed).tif
8,9,3,H - 09(fld 04 wv 405 - Blue).tif,H - 09(fld 04 wv 488 - Green).tif,H - 09(fld 04 wv 642 - FarRed).tif
8,9,4,H - 09(fld 05 wv 405 - Blue).tif,H - 09(fld 05 wv 488 - Green).tif,H - 09(fld 05 wv 642 - FarRed).tif
8,9,5,H - 09(fld 06 wv 405 - Blue).tif,H - 09(fld 06 wv 488 - Green).tif,H - 09(fld 06 wv 642 - FarRed).tif
8,9,6,H - 09(fld 07 wv 405 - Blue).tif,H - 09(fld 07 wv 488 - Green).tif,H - 09(fld 07 wv 642 - FarRed).tif
8,9,7,H - 09(fld 08 wv 405 - Blue).tif,H - 09(fld 08 wv 488 - Green).tif,H - 09(fld 08 wv 642 - FarRed).tif
8,9,8,H - 09(fld 09 wv 405 - Blue).tif,H - 09(fld 09 wv 488 - Green).tif,H - 09(fld 09 wv 642 - FarRed).tif
8,9,9,H - 09(fld 10 wv 405 - Blue).tif,H - 09(fld 10 wv 488 - Green).tif,H - 09(fld 10 wv 642 - FarRed).tif
8,9,10,H - 09(fld 11 wv 405 - Blue).tif,H - 09(fld 11 wv 488 - Green).tif,H - 09(fld 11 wv 642 - FarRed).tif
8,9,11,H - 09(fld 12 wv 405 - Blue).tif,H - 09(fld 12 wv 488 - Green).tif,H - 09(fld 12 wv 642 - FarRed).tif
8,10,0,H - 10(fld 01 wv 405 - Blue).tif,H - 10(fld 01 wv 488 - Green).tif,H - 10(fld 01 wv 642 - FarRed).tif
8,10,1,H - 10(fld 02 wv 405 - Blue).tif,H - 10(fld 02 wv 488 - Green).tif,H - 10(fld 02 wv 642 - FarRed).tif
8,10,2,H - 10(fld 03 wv 405 - Blue).tif,H - 10(fld 03 wv 488 - Green).tif,H - 10(fld 03 wv 642 - FarRed).tif
8,10,3,H - 10(fld 04 wv 405 - Blue).tif,H - 10(fld 04 wv 488 - Green).tif,H - 10(fld 04 wv 642 - FarRed).tif
8,10,4,H - 10(fld 05 wv 405 - Blue).tif,H - 10(fld 05 wv 488 - Green).tif,H - 10(fld 05 wv 642 - FarRed).tif
8,10,5,H - 10(fld 06 wv 405 - Blue).tif,H - 10(fld 06 wv 488 - Green).tif,H - 10(fld 06 wv 642 - FarRed).tif
8,10,6,H - 10(fld 07 wv 405 - Blue).tif,H - 10(fld 07 wv 488 - Green).tif,H - 10(fld 07 wv 642 - FarRed).tif
8,10,7,H - 10(fld 08 wv 405 - Blue).tif,H - 10(fld 08 wv 488 - Green).tif,H - 10(fld 08 wv 642 - FarRed).tif
8,10,8,H - 10(fld 09 wv 405 - Blue).tif,H - 10(fld 09 wv 488 - Green).tif,H - 10(fld 09 wv 642 - FarRed).tif
8,10,9,H - 10(fld 10 wv 405 - Blue).tif,H - 10(fld 10 wv 488 - Green).tif,H - 10(fld 10 wv 642 - FarRed).tif
8,10,10,H - 10(fld 11 wv 405 - Blue).tif,H - 10(fld 11 wv 488 - Green).tif,H - 10(fld 11 wv 642 - FarRed).tif
8,10,11,H - 10(fld 12 wv 405 - Blue).tif,H - 10(fld 12 wv 488 - Green).tif,H - 10(fld 12 wv 642 - FarRed).tif
8,11,0,H - 11(fld 01 wv 405 - Blue).tif,H - 11(fld 01 wv 488 - Green).tif,H - 11(fld 01 wv 642 - FarRed).tif
8,11,1,H - 11(fld 02 wv 405 - Blue).tif,H - 11(fld 02 wv 488 - Green).tif,H - 11(fld 02 wv 642 - FarRed).tif
8,11,2,H - 11(fld 03 wv 405 - Blue).tif,H - 11(fld 03 wv 488 - Green).tif,H - 11(fld 03 wv 642 - FarRed).tif
8,11,3,H - 11(fld 04 wv 405 - Blue).tif,H - 11(fld 04 wv 488 - Green).tif,H - 11(fld 04 wv 642 - FarRed).tif
8,11,4,H - 11(fld 05 wv 405 - Blue).tif,H - 11(fld 05 wv 488 - Green).tif,H - 11(fld 05 wv 642 - FarRed).tif
8,11,5,H - 11(fld 06 wv 405 - Blue).tif,H - 11(fld 06 wv 488 - Green).tif,H - 11(fld 06 wv 642 - FarRed).tif
8,11,6,H - 11(fld 07 wv 405 - Blue).tif,H - 11(fld 07 wv 488 - Green).tif,H - 11(fld 07 wv 642 - FarRed).tif
8,11,7,H - 11(fld 08 wv 405 - Blue).tif,H - 11(fld 08 wv 488 - Green).tif,H - 11(fld 08 wv 642 - FarRed).tif
8,11,8,H - 11(fld 09 wv 405 - Blue).tif,H - 11(fld 09 wv 488 - Green).tif,H - 11(fld 09 wv 642 - FarRed).tif
8,11,9,H - 11(fld 10 wv 405 - Blue).tif,H - 11(fld 10 wv 488 - Green).tif,H - 11(fld 10 wv 642 - FarRed).tif
8,11,10,H - 11(fld 11 wv 405 - Blue).tif,H - 11(fld 11 wv 488 - Green).tif,H - 11(fld 11 wv 642 - FarRed).tif
8,11,11,H - 11(fld 12 wv 405 - Blue).tif,H - 11(fld 12 wv 488 - Green).tif,H - 11(fld 12 wv 642 - FarRed).tif
8,12,0,H - 12(fld 01 wv 405 - Blue).tif,H - 12(fld 01 wv 488 - Green).tif,H - 12(fld 01 wv 642 - FarRed).tif
8,12,1,H - 12(fld 02 wv 405 - Blue).tif,H - 12(fld 02 wv 488 - Green).tif,H - 12(fld 02 wv 642 - FarRed).tif
8,12,2,H - 12(fld 03 wv 405 - Blue).tif,H - 12(fld 03 wv 488 - Green).tif,H - 12(fld 03 wv 642 - FarRed).tif
8,12,3,H - 12(fld 04 wv 405 - Blue).tif,H - 12(fld 04 wv 488 - Green).tif,H - 12(fld 04 wv 642 - FarRed).tif
8,12,4,H - 12(fld 05 wv 405 - Blue).tif,H - 12(fld 05 wv 488 - Green).tif,H - 12(fld 05 wv 642 - FarRed).tif
8,12,5,H - 12(fld 06 wv 405 - Blue).tif,H - 12(fld 06 wv 488 - Green).tif,H - 12(fld 06 wv 642 - FarRed).tif
8,12,6,H - 12(fld 07 wv 405 - Blue).tif,H - 12(fld 07 wv 488 - Green).tif,H - 12(fld 07 wv 642 - FarRed).tif
8,12,7,H - 12(fld 08 wv 405 - Blue).tif,H - 12(fld 08 wv 488 - Green).tif,H - 12(fld 08 wv 642 - FarRed).tif
8,12,8,H - 12(fld 09 wv 405 - Blue).tif,H - 12(fld 09 wv 488 - Green).tif,H - 12(fld 09 wv 642 - FarRed).tif
8,12,9,H - 12(fld 10 wv 405 - Blue).tif,H - 12(fld 10 wv 488 - Green).tif,H - 12(fld 10 wv 642 - FarRed).tif
8,12,10,H - 12(fld 11 wv 405 - Blue).tif,H - 12(fld 11 wv 488 - Green).tif,H - 12(fld 11 wv 642 - FarRed).tif
8,12,11,H - 12(fld 12 wv 405 - Blue).tif,H - 12(fld 12 wv 488 - Green).tif,H - 12(fld 12 wv 642 - FarRed).tif
